primaryTitle,genres,directors,writers,averageRating,numVotes
The Laundromat,"Comedy,Crime,Drama",nm0001752,"nm7328716,nm1994243",6.3,43829
Aruvi,Drama,nm8273413,nm8273413,8.5,10918
Pokémon Detective Pikachu,"Action,Adventure,Comedy",nm1224299,"nm2021624,nm1658012,nm1224299,nm2081046,nm2270979,nm0846969,nm2242949,nm2095966,nm2298593",6.6,137336
Brad's Status,"Comedy,Drama,Music",nm0925234,nm0925234,6.5,16011
First Kill,"Action,Thriller",nm1921345,nm0330482,5.0,10237
The Super,"Horror,Thriller",nm1357855,nm0572352,5.9,11639
Escape Room,"Action,Adventure,Horror",nm0733263,"nm0776885,nm3481322",6.4,86406
Marrowbone,"Drama,Horror,Mystery",nm1037221,nm1037221,6.7,25105
Sandy Wexler,Comedy,nm0109359,"nm4674057,nm0755586,nm0001191",5.2,14816
13th,"Crime,Documentary,History",nm1148550,"nm2589786,nm1148550",8.3,31678
Blue Jay,"Drama,Romance",nm1411972,nm0243233,7.3,14425
Possessor,"Horror,Sci-Fi,Thriller",nm0188722,nm0188722,6.5,15371
Gantz: O,"Action,Animation,Drama","nm2405489,nm0766226","nm0645740,nm3648497",7.1,12480
Wildlife,Drama,nm0200452,"nm0200452,nm1443740,nm0285840",6.8,24078
Before the Flood,"Documentary,News",nm0001770,nm0598531,8.3,26225
The Professor and the Madman,"Biography,Drama",nm1731154,"nm0000958,nm0464548,nm1731154,nm2278762",7.3,35170
Padmaavat,"Drama,History,Romance",nm0080220,"nm1165501,nm0080220",7.0,27546
Dear Zindagi,"Drama,Romance",nm1903006,nm1903006,7.6,36014
Amanda Knox,"Crime,Documentary","nm2770831,nm2060444","nm1510517,nm2770831",6.9,21284
Tiger Zinda Hai,"Action,Adventure,Thriller",nm1804614,"nm1305877,nm1804614,nm0159147",5.9,21974
Vada Chennai,"Action,Crime,Drama",nm4274575,nm4274575,8.5,10975
Vox Lux,"Drama,Music",nm1227232,"nm1227232,nm2178754",5.9,16273
Ingrid Goes West,"Comedy,Drama",nm0818485,"nm2434358,nm0818485",6.6,35992
The Angel,"Drama,Thriller",nm1033517,"nm0033153,nm8362887",6.6,11908
Captive State,"Action,Horror,Sci-Fi",nm1012501,"nm0066464,nm1012501",6.0,48495
The Aftermath,"Drama,Romance,War",nm0448757,"nm1100123,nm3143608,nm0988986",6.3,17520
Bleach,"Action,Adventure,Fantasy",nm0766263,"nm1818197,nm0766263,nm1847857",6.4,10307
Jolly LLB 2,"Comedy,Drama",nm1378015,nm1378015,7.2,22207
Life Itself,"Drama,Romance",nm1557594,nm1557594,6.8,17451
Columbus,Drama,nm3226379,nm3226379,7.2,14429
